;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18
n0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n1;0;0;13;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
n2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n3;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0
n4;0;11;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0
n5;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0
n6;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n7;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0
n8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n9;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
n10;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n11;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0
n12;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n13;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n14;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0
n15;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
n16;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0
n17;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
n18;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
